Date,Category,Sales_Units
2025-01-01,Mobile Phones & Accessories,25
2025-01-01,Laptops & Computers,12
2025-01-01,Televisions & Displays,8
2025-01-01,Audio & Headphones,19
2025-01-01,Home Appliances,14
2025-01-01,Kitchen Appliances,10
2025-01-01,Cameras & Surveillance,9
2025-01-01,Smart Watches & Wearables,16
2025-01-01,Power Banks & Chargers,32
2025-01-01,Networking & Storage,10
2025-01-02,Mobile Phones & Accessories,27
2025-01-02,Laptops & Computers,13
2025-01-02,Televisions & Displays,9
2025-01-02,Audio & Headphones,18
2025-01-02,Home Appliances,13
2025-01-02,Kitchen Appliances,10
2025-01-02,Cameras & Surveillance,8
2025-01-02,Smart Watches & Wearables,19
2025-01-02,Power Banks & Chargers,33
2025-01-02,Networking & Storage,9
2025-01-03,Mobile Phones & Accessories,25
2025-01-03,Laptops & Computers,9
2025-01-03,Televisions & Displays,7
2025-01-03,Audio & Headphones,17
2025-01-03,Home Appliances,14
2025-01-03,Kitchen Appliances,10
2025-01-03,Cameras & Surveillance,8
2025-01-03,Smart Watches & Wearables,15
2025-01-03,Power Banks & Chargers,32
2025-01-03,Networking & Storage,7
2025-01-04,Mobile Phones & Accessories,35
2025-01-04,Laptops & Computers,12
2025-01-04,Televisions & Displays,8
2025-01-04,Audio & Headphones,19
2025-01-04,Home Appliances,14
2025-01-04,Kitchen Appliances,14
2025-01-04,Cameras & Surveillance,9
2025-01-04,Smart Watches & Wearables,17
2025-01-04,Power Banks & Chargers,39
2025-01-04,Networking & Storage,9
2025-01-05,Mobile Phones & Accessories,32
2025-01-05,Laptops & Computers,14
2025-01-05,Televisions & Displays,11
2025-01-05,Audio & Headphones,23
2025-01-05,Home Appliances,17
2025-01-05,Kitchen Appliances,13
2025-01-05,Cameras & Surveillance,9
2025-01-05,Smart Watches & Wearables,21
2025-01-05,Power Banks & Chargers,33
2025-01-05,Networking & Storage,9
2025-01-06,Mobile Phones & Accessories,22
2025-01-06,Laptops & Computers,11
2025-01-06,Televisions & Displays,7
2025-01-06,Audio & Headphones,20
2025-01-06,Home Appliances,11
2025-01-06,Kitchen Appliances,9
2025-01-06,Cameras & Surveillance,8
2025-01-06,Smart Watches & Wearables,17
2025-01-06,Power Banks & Chargers,31
2025-01-06,Networking & Storage,9
2025-01-07,Mobile Phones & Accessories,27
2025-01-07,Laptops & Computers,10
2025-01-07,Televisions & Displays,6
2025-01-07,Audio & Headphones,15
2025-01-07,Home Appliances,14
2025-01-07,Kitchen Appliances,9
2025-01-07,Cameras & Surveillance,7
2025-01-07,Smart Watches & Wearables,15
2025-01-07,Power Banks & Chargers,28
2025-01-07,Networking & Storage,9
2025-01-08,Mobile Phones & Accessories,25
