Date,Region,Category,Sales_Units
2025-01-01,South India,Groceries & Staples,200
2025-01-02,South India,Groceries & Staples,153
2025-01-03,South India,Groceries & Staples,172
2025-01-04,South India,Groceries & Staples,168
2025-01-05,South India,Groceries & Staples,207
2025-01-06,South India,Groceries & Staples,202
2025-01-07,South India,Groceries & Staples,219
2025-01-08,South India,Groceries & Staples,158
2025-01-09,South India,Groceries & Staples,183
2025-01-10,South India,Groceries & Staples,153
2025-01-11,South India,Groceries & Staples,168
2025-01-12,South India,Groceries & Staples,189
2025-01-13,South India,Groceries & Staples,153
2025-01-14,South India,Groceries & Staples,166
2025-01-15,South India,Groceries & Staples,200
2025-01-16,South India,Groceries & Staples,192
2025-01-17,South India,Groceries & Staples,168
2025-01-18,South India,Groceries & Staples,196
2025-01-19,South India,Groceries & Staples,212
2025-01-20,South India,Groceries & Staples,152
2025-01-21,South India,Groceries & Staples,212
2025-01-22,South India,Groceries & Staples,204
2025-01-23,South India,Groceries & Staples,177
2025-01-24,South India,Groceries & Staples,163
2025-01-25,South India,Groceries & Staples,224
2025-01-26,South India,Groceries & Staples,177
2025-01-27,South India,Groceries & Staples,158
2025-01-28,South India,Groceries & Staples,159
2025-01-29,South India,Groceries & Staples,215
2025-01-30,South India,Groceries & Staples,197
2025-01-31,South India,Groceries & Staples,212
2025-02-01,South India,Groceries & Staples,187
2025-02-02,South India,Groceries & Staples,173
2025-02-03,South India,Groceries & Staples,203
2025-02-04,South India,Groceries & Staples,163
2025-02-05,South India,Groceries & Staples,175
2025-02-06,South India,Groceries & Staples,194
2025-02-07,South India,Groceries & Staples,179
2025-02-08,South India,Groceries & Staples,196
2025-02-09,South India,Groceries & Staples,176
2025-02-10,South India,Groceries & Staples,185
2025-02-11,South India,Groceries & Staples,140
2025-02-12,South India,Groceries & Staples,152
2025-02-13,South India,Groceries & Staples,157
2025-02-14,South India,Groceries & Staples,142
2025-02-15,South India,Groceries & Staples,153
2025-02-16,South India,Groceries & Staples,144
2025-02-17,South India,Groceries & Staples,156
2025-02-18,South India,Groceries & Staples,180
2025-02-19,South India,Groceries & Staples,162
2025-02-20,South India,Groceries & Staples,162
2025-02-21,South India,Groceries & Staples,151
2025-02-22,South India,Groceries & Staples,155
2025-02-23,South India,Groceries & Staples,201
2025-02-24,South India,Groceries & Staples,181
2025-02-25,South India,Groceries & Staples,178
2025-02-26,South India,Groceries & Staples,149
2025-02-27,South India,Groceries & Staples,187
2025-02-28,South India,Groceries & Staples,148
2025-03-01,South India,Groceries & Staples,188
2025-03-02,South India,Groceries & Staples,237
2025-03-03,South India,Groceries & Staples,209
2025-03-04,South India,Groceries & Staples,203
2025-03-05,South India,Groceries & Staples,213
2025-03-06,South India,Groceries & Staples,225
2025-03-07,South India,Groceries & Staples,220
2025-03-08,South India,Groceries & Staples,177
2025-03-09,South India,Groceries & Staples,161
2025-03-10,South India,Groceries & Staples,183
2025-03-11,South India,Groceries & Staples,180
2025-03-12,South India,Groceries & Staples,175
2025-03-13,South India,Groceries & Staples,233
2025-03-14,South India,Groceries & Staples,228
2025-03-15,South India,Groceries & Staples,183
2025-03-16,South India,Groceries & Staples,210
2025-03-17,South India,Groceries & Staples,190
2025-03-18,South India,Groceries & Staples,231
2025-03-19,South India,Groceries & Staples,195
2025-03-20,South India,Groceries & Staples,179
2025-03-21,South India,Groceries & Staples,178
2025-03-22,South India,Groceries & Staples,203
2025-03-23,South India,Groceries & Staples,179
2025-03-24,South India,Groceries & Staples,205
2025-03-25,South India,Groceries & Staples,230
2025-03-26,South India,Groceries & Staples,190
2025-03-27,South India,Groceries & Staples,176
2025-03-28,South India,Groceries & Staples,237
2025-03-29,South India,Groceries & Staples,199
2025-03-30,South India,Groceries & Staples,166
2025-03-31,South India,Groceries & Staples,162
2025-04-01,South India,Groceries & Staples,152
2025-04-02,South India,Groceries & Staples,189
2025-04-03,South India,Groceries & Staples,201
2025-04-04,South India,Groceries & Staples,174
2025-04-05,South India,Groceries & Staples,149
