Date,Category,Sales_Units
2025-01-01,Traditional Assamese Wear,21
2025-01-01,Women's Ethnic Wear,32
2025-01-01,Women's Western Wear,17
2025-01-01,Men's Casual Wear,26
2025-01-01,Festive & Party Wear,9
2025-01-01,Winter Wear,25
2025-01-01,Kids Wear,12
2025-01-01,Footwear,11
2025-01-01,Fashion Accessories,30
2025-01-01,Innerwear & Loungewear,12
2025-01-02,Traditional Assamese Wear,22
2025-01-02,Women's Ethnic Wear,27
2025-01-02,Women's Western Wear,14
2025-01-02,Men's Casual Wear,21
2025-01-02,Festive & Party Wear,9
2025-01-02,Winter Wear,27
2025-01-02,Kids Wear,17
2025-01-02,Footwear,10
2025-01-02,Fashion Accessories,14
2025-01-02,Innerwear & Loungewear,15
2025-01-03,Traditional Assamese Wear,22
2025-01-03,Women's Ethnic Wear,22
2025-01-03,Women's Western Wear,14
2025-01-03,Men's Casual Wear,22
2025-01-03,Festive & Party Wear,16
2025-01-03,Winter Wear,28
2025-01-03,Kids Wear,16
2025-01-03,Footwear,12
2025-01-03,Fashion Accessories,16
2025-01-03,Innerwear & Loungewear,14
2025-01-04,Traditional Assamese Wear,25
2025-01-04,Women's Ethnic Wear,39
2025-01-04,Women's Western Wear,16
2025-01-04,Men's Casual Wear,24
2025-01-04,Festive & Party Wear,16
2025-01-04,Winter Wear,26
2025-01-04,Kids Wear,21
2025-01-04,Footwear,11
2025-01-04,Fashion Accessories,18
2025-01-04,Innerwear & Loungewear,11
2025-01-05,Traditional Assamese Wear,32
2025-01-05,Women's Ethnic Wear,26
2025-01-05,Women's Western Wear,17
2025-01-05,Men's Casual Wear,27
2025-01-05,Festive & Party Wear,15
2025-01-05,Winter Wear,23
2025-01-05,Kids Wear,23
2025-01-05,Footwear,10
2025-01-05,Fashion Accessories,20
2025-01-05,Innerwear & Loungewear,25
2025-01-06,Traditional Assamese Wear,19
2025-01-06,Women's Ethnic Wear,26
2025-01-06,Women's Western Wear,15
2025-01-06,Men's Casual Wear,29
2025-01-06,Festive & Party Wear,15
2025-01-06,Winter Wear,27
2025-01-06,Kids Wear,20
2025-01-06,Footwear,13
2025-01-06,Fashion Accessories,8
2025-01-06,Innerwear & Loungewear,20
2025-01-07,Traditional Assamese Wear,19
2025-01-07,Women's Ethnic Wear,21
2025-01-07,Women's Western Wear,12
2025-01-07,Men's Casual Wear,20
2025-01-07,Festive & Party Wear,13
2025-01-07,Winter Wear,20
2025-01-07,Kids Wear,19
2025-01-07,Footwear,19
2025-01-07,Fashion Accessories,10
2025-01-07,Innerwear & Loungewear,11
2025-01-08,Traditional Assamese Wear,26
2025-01-08,Women's Ethnic Wear,18
2025-01-08,Women's Western Wear,20
2025-01-08,Men's Casual Wear,21
2025-01-08,Festive & Party Wear,12
2025-01-08,Winter Wear,18
2025-01-08,Kids Wear,10
2025-01-08,Footwear,11
2025-01-08,Fashion Accessories,18
2025-01-08,Innerwear & Loungewear,14
2025-01-09,Traditional Assamese Wear,10
2025-01-09,Women's Ethnic Wear,29
2025-01-09,Women's Western Wear,9
2025-01-09,Men's Casual Wear,16
2025-01-09,Festive & Party Wear,19
2025-01-09,Winter Wear,27
2025-01-09,Kids Wear,17
2025-01-09,Footwear,18
2025-01-09,Fashion Accessories,13
2025-01-09,Innerwear & Loungewear,11
2025-01-10,Traditional Assamese Wear,53
2025-01-10,Women's Ethnic Wear,56
2025-01-10,Women's Western Wear,30
2025-01-10,Men's Casual Wear,33
2025-01-10,Festive & Party Wear,24
2025-01-10,Winter Wear,40
2025-01-10,Kids Wear,14
2025-01-10,Footwear,25
2025-01-10,Fashion Accessories,24
2025-01-10,Innerwear & Loungewear,13
2025-01-11,Traditional Assamese Wear,69
2025-01-11,Women's Ethnic Wear,65
2025-01-11,Women's Western Wear,22
2025-01-11,Men's Casual Wear,22
2025-01-11,Festive & Party Wear,25
2025-01-11,Winter Wear,47
2025-01-11,Kids Wear,29
2025-01-11,Footwear,17
2025-01-11,Fashion Accessories,36
2025-01-11,Innerwear & Loungewear,19
2025-01-12,Traditional Assamese Wear,70
2025-01-12,Women's Ethnic Wear,71
