Store_ID,Store_Name,State,Region,Category,Priority,Action_Type,Recommendation,Current_Stock,Days_Supply,Decision
1,"Reliance Smart - Connaught Place, New Delhi",Delhi / NCR,North India,Clothing & Apparel,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,372.49,8.2,MONITOR
1,"Reliance Smart - Connaught Place, New Delhi",Delhi / NCR,North India,Clothing & Apparel,INFO,Category Insight,Seasonal — clearance for off-season items,372.49,8.2,MONITOR
1,"Reliance Smart - Connaught Place, New Delhi",Delhi / NCR,North India,Dairy & Eggs,CRITICAL,Reorder,ML predicts stockout risk 100% — Order 1057 units of Dairy & Eggs immediately,285.25,4.7,REORDER NOW
1,"Reliance Smart - Connaught Place, New Delhi",Delhi / NCR,North India,Dairy & Eggs,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,285.25,4.7,REORDER NOW
1,"Reliance Smart - Connaught Place, New Delhi",Delhi / NCR,North India,Dairy & Eggs,INFO,Category Insight,Short shelf-life — daily restocking recommended,285.25,4.7,REORDER NOW
1,"Reliance Smart - Connaught Place, New Delhi",Delhi / NCR,North India,Electronics & Appliances,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,366.74,16.1,OK
1,"Reliance Smart - Connaught Place, New Delhi",Delhi / NCR,North India,Electronics & Appliances,INFO,Category Insight,Festival-driven — stock up 1 month before Diwali,366.74,16.1,OK
1,"Reliance Smart - Connaught Place, New Delhi",Delhi / NCR,North India,Fresh Produce,HIGH,Reorder,Stock dropping (risk: 100%) — Plan order of 1946 units within 3 days,566.93,5.0,REORDER SOON
1,"Reliance Smart - Connaught Place, New Delhi",Delhi / NCR,North India,Fresh Produce,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,566.93,5.0,REORDER SOON
1,"Reliance Smart - Connaught Place, New Delhi",Delhi / NCR,North India,Fresh Produce,INFO,Category Insight,Perishable — order frequently (5-7 day max),566.93,5.0,REORDER SOON
1,"Reliance Smart - Connaught Place, New Delhi",Delhi / NCR,North India,Groceries & Staples,INFO,Category Insight,Fast-moving — maintain 15-20 day buffer,3350.65,11.0,MONITOR
1,"Reliance Smart - Connaught Place, New Delhi",Delhi / NCR,North India,Health & Wellness,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,751.73,14.2,OK
1,"Reliance Smart - Connaught Place, New Delhi",Delhi / NCR,North India,Health & Wellness,INFO,Category Insight,Growing category — review weekly trends,751.73,14.2,OK
1,"Reliance Smart - Connaught Place, New Delhi",Delhi / NCR,North India,Home Care,MEDIUM,Monitor,"Inventory watchlist — 8 days supply remaining, monitor closely",699.94,7.7,WATCHLIST
1,"Reliance Smart - Connaught Place, New Delhi",Delhi / NCR,North India,Home Care,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,699.94,7.7,WATCHLIST
1,"Reliance Smart - Connaught Place, New Delhi",Delhi / NCR,North India,Home Care,INFO,Category Insight,Festival peaks — pre-stock 2 weeks before festivals,699.94,7.7,WATCHLIST
1,"Reliance Smart - Connaught Place, New Delhi",Delhi / NCR,North India,Kitchen & Dining,HIGH,Reorder,Stock dropping (risk: 99%) — Plan order of 1205 units within 3 days,472.97,6.2,REORDER SOON
1,"Reliance Smart - Connaught Place, New Delhi",Delhi / NCR,North India,Kitchen & Dining,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,472.97,6.2,REORDER SOON
1,"Reliance Smart - Connaught Place, New Delhi",Delhi / NCR,North India,Kitchen & Dining,INFO,Category Insight,Wedding season (Nov-Feb) — increase stock 20%,472.97,6.2,REORDER SOON
1,"Reliance Smart - Connaught Place, New Delhi",Delhi / NCR,North India,Personal Care,HIGH,Reorder,Stock dropping (risk: 100%) — Plan order of 2218 units within 3 days,796.85,5.9,REORDER SOON
1,"Reliance Smart - Connaught Place, New Delhi",Delhi / NCR,North India,Personal Care,MEDIUM,Discount,XGBoost recommends 10% discount — Average demand period — ML optimized discount,796.85,5.9,REORDER SOON
1,"Reliance Smart - Connaught Place, New Delhi",Delhi / NCR,North India,Personal Care,INFO,Category Insight,Steady demand — maintain 30-day inventory,796.85,5.9,REORDER SOON
1,"Reliance Smart - Connaught Place, New Delhi",Delhi / NCR,North India,Snacks & Beverages,MEDIUM,Discount,XGBoost recommends 10% discount — Average demand period — ML optimized discount,1657.27,8.7,MONITOR
1,"Reliance Smart - Connaught Place, New Delhi",Delhi / NCR,North India,Snacks & Beverages,INFO,Category Insight,Weekend peaks — increase Thu-Fri stock,1657.27,8.7,MONITOR
2,"DMart - Sector 18, Noida",Delhi / NCR,North India,Clothing & Apparel,MEDIUM,Monitor,"Inventory watchlist — 8 days supply remaining, monitor closely",454.47,7.8,WATCHLIST
2,"DMart - Sector 18, Noida",Delhi / NCR,North India,Clothing & Apparel,MEDIUM,Discount,XGBoost recommends 15% discount — Below-average demand — ML recommends promotion,454.47,7.8,WATCHLIST
2,"DMart - Sector 18, Noida",Delhi / NCR,North India,Clothing & Apparel,INFO,Category Insight,Seasonal — clearance for off-season items,454.47,7.8,WATCHLIST
2,"DMart - Sector 18, Noida",Delhi / NCR,North India,Dairy & Eggs,HIGH,Reorder,Stock dropping (risk: 100%) — Plan order of 1303 units within 3 days,409.32,5.3,REORDER SOON
