Date,Store,Store,Sales,Predicted_Sales
2015-06-20,1115,1115,7824,5639.274595839981
2015-06-20,380,380,13820,12984.900993859897
2015-06-20,379,379,3178,4897.22997588702
2015-06-20,378,378,6469,5605.032496417382
2015-06-20,377,377,6224,5991.677122925034
2015-06-20,376,376,5858,7039.879572974593
2015-06-20,375,375,3833,5868.0254140209245
2015-06-20,374,374,4165,7008.6340663645715
2015-06-20,373,373,5123,6232.698434417866
2015-06-20,372,372,8681,6220.150742157667
2015-06-20,371,371,5798,5378.56419881094
2015-06-20,370,370,7654,6236.920568714712
2015-06-20,369,369,6805,5975.138815329859
2015-06-20,368,368,7548,5414.790378654069
2015-06-20,367,367,4645,5655.557693535586
2015-06-20,381,381,4816,5342.859696944082
2015-06-20,366,366,2736,5975.138815329859
2015-06-20,364,364,3415,3562.9546856096104
2015-06-20,363,363,5911,7039.879572974593
2015-06-20,362,362,8852,7063.554510030591
2015-06-20,361,361,6055,6200.03865983167
2015-06-20,360,360,4530,5463.701848869707
2015-06-20,359,359,7343,5909.669339981609
2015-06-20,358,358,9253,7860.178953603391
2015-06-20,357,357,5946,6118.590329369533
2015-06-20,356,356,6823,6246.206098019686
2015-06-20,355,355,5937,6295.063112944977
2015-06-20,354,354,8941,6994.905883241461
2015-06-20,353,353,4860,5267.6498993591895
2015-06-20,352,352,6048,6259.18158975582
2015-06-20,351,351,5804,6202.31456768245
2015-06-20,365,365,5718,6085.330656984113
2015-06-20,382,382,5831,5250.325230664618
2015-06-20,383,383,16252,7148.337846894998
2015-06-20,384,384,5142,5845.584798323556
2015-06-20,415,415,5532,6393.665460383877
2015-06-20,414,414,7432,6200.536097217591
2015-06-20,413,413,4249,7039.476096228148
2015-06-20,412,412,12927,7648.018472471373
2015-06-20,411,411,9039,6642.033226535542
2015-06-20,410,410,5513,5683.793105356304
2015-06-20,409,409,5584,5267.6498993591895
2015-06-20,408,408,5045,5229.469023402854
2015-06-20,407,407,4500,6182.178054438918
2015-06-20,406,406,6640,6227.938698456328
2015-06-20,405,405,3222,5267.6498993591895
2015-06-20,404,404,2990,5255.960812614694
2015-06-20,403,403,5483,6145.538646219052
2015-06-20,402,402,6457,6217.025822855837
2015-06-20,401,401,3555,6221.191395788975
2015-06-20,400,400,5966,6282.505355402227
2015-06-20,399,399,4437,6202.31456768245
2015-06-20,385,385,7636,6044.305952073262
2015-06-20,386,386,6351,5414.790378654069
2015-06-20,387,387,7051,6695.781555421597
2015-06-20,388,388,8551,6582.487740238819
2015-06-20,389,389,8207,6741.6505372377815
2015-06-20,390,390,9860,7022.432367098849
2015-06-20,350,350,6308,6270.094465356309
2015-06-20,391,391,2653,5267.6498993591895
2015-06-20,393,393,5857,6079.428111745907
2015-06-20,394,394,8213,6653.298271229735
2015-06-20,395,395,2734,3572.2218167887117
2015-06-20,396,396,5249,5250.325230664618
2015-06-20,397,397,4409,4785.209451183367
2015-06-20,398,398,4615,5229.469023402854
2015-06-20,392,392,4576,5560.854647671088
2015-06-20,349,349,9057,6994.905883241461
2015-06-20,348,348,8314,5845.078359210797
2015-06-20,347,347,4221,6223.7190497236115
2015-06-20,311,311,4961,5369.92177047689
2015-06-20,310,310,6638,6049.518896002452
2015-06-20,309,309,5001,6101.975242010924
2015-06-20,308,308,7096,5267.6498993591895
2015-06-20,307,307,1201,1897.27799172313
2015-06-20,306,306,2831,5959.569644874395
2015-06-20,305,305,6474,6081.8527862376595
2015-06-20,304,304,4525,5467.7534889060025
2015-06-20,303,303,4902,5575.006240217556
2015-06-20,302,302,4364,4692.889144322447
2015-06-20,301,301,4418,5899.357119581461
2015-06-20,300,300,7289,6185.883004471107
2015-06-20,299,299,6939,6488.767214466355
2015-06-20,298,298,8389,7764.142263725516
2015-06-20,297,297,4674,5632.536476910675
2015-06-20,296,296,4183,6101.975242010924
2015-06-20,295,295,5199,5076.769679531533
2015-06-20,281,281,5416,5968.492312875153
2015-06-20,282,282,3144,3729.4883627462236
2015-06-20,283,283,7580,6027.55243127582
2015-06-20,284,284,5515,5232.5812951265425
2015-06-20,285,285,6462,5570.55039302317
2015-06-20,286,286,1607,3106.0778198058756
2015-06-20,312,312,4314,5045.068431230541
2015-06-20,287,287,9339,6523.66529863291
2015-06-20,289,289,5998,5964.826594929711
2015-06-20,290,290,4393,5894.0920023677545
2015-06-20,291,291,4516,5564.66346116086
2015-06-20,292,292,3479,4180.581529227371
2015-06-20,293,293,4590,5358.565185678464
2015-06-20,294,294,3560,3798.0124063167327
2015-06-20,288,288,5136,5267.6498993591895
2015-06-20,416,416,10324,7503.909245364609
2015-06-20,313,313,4686,5600.894019227023
2015-06-20,315,315,2145,3570.803781400323
2015-06-20,346,346,5579,5978.804533275302
2015-06-20,345,345,2948,4153.656880343952
2015-06-20,344,344,7343,7168.560409049663
2015-06-20,343,343,6006,5777.150367085635
2015-06-20,342,342,10373,9341.690729440958
2015-06-20,341,341,4960,7027.761817722898
2015-06-20,340,340,5700,5978.804533275302
2015-06-20,339,339,3576,5997.229918203567
2015-06-20,338,338,6677,5320.654214636049
2015-06-20,337,337,5912,6113.482280639815
2015-06-20,336,336,10994,7423.795134129535
2015-06-20,335,335,9551,9154.379506049938
2015-06-20,334,334,4185,5825.449691897904
2015-06-20,333,333,8868,8334.970067034308
2015-06-20,332,332,1533,1690.9572201747899
2015-06-20,331,331,3794,5267.6498993591895
2015-06-20,330,330,4362,5252.761148539994
2015-06-20,316,316,9222,6007.096106170424
2015-06-20,317,317,6489,5950.226867519788
2015-06-20,318,318,4770,5310.117828184111
2015-06-20,319,319,5550,5267.6498993591895
2015-06-20,320,320,10441,11570.581389016159
2015-06-20,321,321,6997,6187.05270933197
2015-06-20,314,314,3042,5484.367695605901
2015-06-20,322,322,1987,4847.866662563636
2015-06-20,324,324,1503,3109.1671506083076
2015-06-20,325,325,4587,5252.761148539994
2015-06-20,326,326,5140,6113.482280639815
2015-06-20,327,327,7358,6956.743094535964
2015-06-20,328,328,3019,3366.9261134241347
2015-06-20,329,329,4347,5252.26504225298
2015-06-20,323,323,7293,6187.05270933197
2015-06-20,417,417,4770,5267.6498993591895
2015-06-20,418,418,3594,5267.6498993591895
2015-06-20,419,419,3775,6641.2040574801
2015-06-20,520,520,2475,6148.239958942618
2015-06-20,519,519,5119,5993.974410214053
2015-06-20,518,518,6653,5979.76328575109
2015-06-20,517,517,3243,3729.0508753654512
2015-06-20,516,516,4719,4930.600374911636
2015-06-20,515,515,10615,6410.88592084978
2015-06-20,514,514,4394,5740.634563725358
2015-06-20,513,513,15659,7216.802519950625
2015-06-20,512,512,5426,5715.295011723163
2015-06-20,511,511,5373,5591.229744587331
2015-06-20,510,510,5111,6222.049657226234
2015-06-20,509,509,3841,6128.794495387607
2015-06-20,508,508,5238,5740.634563725358
