Store,Region,Product_Category,Avg_Daily_Demand,Std_Daily_Demand,Safety_Stock,Reorder_Point,Current_Inventory,Days_Of_Supply,Stockout_Risk,Inventory_Position,Action,Priority_Score,Target_Level,Recommended_Order_Qty,Days_Until_Stockout
1,Kerala,Clothing & Apparel,5654.362,2952.2515,12888.022,52468.555,52657.83258042833,9.312780874340325,0.0,1.0036074479357842,MONITOR,1.8,131629.624,78972,9.3
2,Kerala,Electronics & Gadgets,5745.6167,497.64447,2172.4617,42391.777,46379.94531727451,8.072231014571672,0.0,1.0940788190425352,MONITOR,0.0,122830.41239999999,76450,8.1
3,Kerala,Footwear & Shoes,6003.6616,757.2034,3305.5635,45331.195,80822.60400505044,13.4622184103584,0.0,1.7829356584367662,OK,0.0,129382.45710000001,48560,13.5
4,Kerala,Home Decor,10141.244,2465.6907,10763.947,81752.66,84680.97848191056,8.35015677639447,0.0,1.0358192440699856,MONITOR,0.0,223730.071,139049,8.4
5,Kerala,Games & Toys,4197.78,1133.3446,4947.604,34332.062,53568.61753516138,12.761178593642557,0.0,1.560308773040238,OK,0.0,93100.984,39532,12.8
6,Kerala,Sports Products,6061.471,3936.051,17182.79,59613.086,58521.64468414948,9.654693198430028,0.0183087527878496,0.9816912461829183,MONITOR,3.9,144473.68099999998,85952,9.7
7,Kerala,Tupperware,7392.839,1929.5804,8423.5625,60173.434,57507.173020222224,7.778767271049695,0.0443095966822925,0.9556903968655375,MONITOR,7.0,163673.1815,106166,7.8
8,Kerala,Furniture,5489.3994,800.2186,3493.346,41919.145,33820.77160383564,6.161105988606893,0.1931903195538059,0.8068096714242535,WATCHLIST,22.5,118770.73340000001,84950,6.2
9,Kerala,Pet Care,6258.2324,420.59927,1836.1217,45643.746,34961.0242288172,5.586405533072658,0.2340456859739561,0.7659543155992762,WATCHLIST,26.9,133259.00209999998,98298,5.6
10,Kerala,Food,5617.0474,410.36087,1791.426,41110.758,26831.583977434217,4.776812841713391,0.3473342403511741,0.6526657566721152,REORDER SOON,38.8,119749.42140000002,92918,4.8
11,Kerala,Clothing & Apparel,6187.4756,1204.6409,5258.8467,48571.176,47312.40950503128,7.646480191786115,0.0259159111545461,0.9740840844584715,MONITOR,5.2,135195.8343,87883,7.6
12,Kerala,Electronics & Gadgets,6056.4043,809.89594,3535.592,45930.42,37322.71139823056,6.162519800319215,0.1874076075372308,0.8125924256349183,WATCHLIST,21.9,130720.08230000001,93397,6.2
13,Kerala,Footwear & Shoes,5477.2427,771.93384,3369.869,41710.566,35804.00034972586,6.536865804402018,0.1416083876444096,0.8583916207161001,MONITOR,17.2,118391.9657,82588,6.5
14,Kerala,Home Decor,5792.2007,492.21484,2148.7588,42694.164,34716.38079892258,5.993642605867539,0.1868588702638313,0.8131411309265263,WATCHLIST,22.0,123784.97350000001,89069,6.0
15,Kerala,Games & Toys,6314.838,511.40332,2232.526,46436.395,81098.33797903916,12.842505125814496,0.0,1.746439144964616,OK,0.0,134844.124,53746,12.8
16,Kerala,Sports Products,6833.799,642.14185,2803.2634,50639.855,37239.50549740982,5.449312517680196,0.2646206204046056,0.7353793864024653,WATCHLIST,30.1,146313.0424,109074,5.4
17,Kerala,Tupperware,5113.668,1328.2345,5798.3936,41594.07,35047.784499565605,6.853746608842261,0.1573850734912827,0.8426149328393592,WATCHLIST,18.6,113185.42159999999,78138,6.9
18,Kerala,Furniture,6189.7803,913.99347,3990.029,47318.49,37730.24078205307,6.0955702973765735,0.2026321602289285,0.7973678108082712,WATCHLIST,23.5,133975.41530000002,96245,6.1
19,Kerala,Pet Care,6108.464,538.716,2351.759,45111.004,55840.76729885023,9.14154008486602,0.0,1.2378524605404533,OK,0.0,130629.50300000001,74789,9.1
20,Kerala,Food,7264.3247,1359.4874,5934.828,56785.1,89088.43071997113,12.263828272122954,0.0,1.5688698394468115,OK,0.0,158485.6467,69397,12.3
21,Kerala,Clothing & Apparel,5701.799,549.68396,2399.6396,42312.234,78960.66124244113,13.84837726174335,0.0,1.8661425733853034,OK,0.0,122137.41859999999,43177,13.8
22,Kerala,Electronics & Gadgets,5747.517,583.36194,2546.6604,42779.28,41039.37620418007,7.140366102903707,0.0406716755162857,0.9593283525150511,MONITOR,6.8,123244.51739999998,82205,7.1
23,Kerala,Footwear & Shoes,4839.6343,633.99756,2767.7097,36645.152,26454.34593001616,5.466186991413681,0.2780942570012791,0.7219057497705605,WATCHLIST,31.4,104400.03,77946,5.5
24,Kerala,Home Decor,7760.146,851.63885,3717.8206,58038.844,75556.68896591885,9.736503540519992,0.0,1.3018296671435918,OK,0.0,166680.8866,91124,9.7
25,Kerala,Games & Toys,11133.626,1981.4457,8649.98,86585.36,77832.7371246513,6.990780657487303,0.1010866307367416,0.8989133627746227,MONITOR,12.9,242456.12600000002,164623,7.0
26,Kerala,Sports Products,6654.065,312.96756,1366.2566,47944.71,48121.201885027935,7.231850351442189,0.0,1.0036811545012565,MONITOR,2.4,141101.62159999998,92980,7.2
27,Kerala,Tupperware,8168.355,957.1583,4178.4644,61356.95,36764.033876306894,4.500787975573161,0.4008171145335855,0.5991828778370974,REORDER SOON,44.4,175713.91939999998,138950,4.5
28,Kerala,Furniture,5627.23,565.81915,2470.0774,41860.688,27265.04054540478,4.845197484381755,0.3486719360401145,0.651328056180175,REORDER SOON,38.9,120641.90739999998,93377,4.8
29,Kerala,Pet Care,6887.9775,276.777,1208.2671,49424.11,44095.46379996103,6.401801334265488,0.1078147010117766,0.8921852877059603,MONITOR,13.9,145855.7946,101760,6.4
30,Kerala,Food,3940.2263,643.90765,2810.9722,30392.557,35868.415527585414,9.103135868226028,0.0,1.1801710375203183,MONITOR,0.0,85555.7245,49687,9.1
31,Kerala,Clothing & Apparel,5617.174,745.5341,3254.621,42574.84,43208.509801827226,7.692215182212036,0.0,1.0148836684254652,MONITOR,1.1,121215.275,78007,7.7
32,Kerala,Electronics & Gadgets,5236.63,646.5193,2822.3733,39478.785,71535.5226168632,13.66060313936924,0.0,1.8119990931043901,OK,0.0,112791.6033,41256,13.7
33,Kerala,Footwear & Shoes,8619.572,1888.8557,8245.779,68582.79,66256.03702940176,7.686696623408096,0.033926179802601,0.9660738069915465,MONITOR,6.0,189256.791,123001,7.7
34,Kerala,Home Decor,7560.0625,236.48956,1032.3927,53952.832,48081.95620099623,6.359994537213976,0.1088149705812162,0.8911850299349667,MONITOR,14.0,159793.7052,111712,6.4
35,Kerala,Games & Toys,7567.211,585.0775,2554.1497,55524.625,86028.40541448478,11.368575043701137,0.0,1.54937391138589,OK,0.0,161465.58070000002,75437,11.4
36,Kerala,Sports Products,6226.0244,674.8387,2946.001,46528.17,56032.21735054026,8.999678386095352,0.0,1.204264370391964,OK,0.0,133692.5134,77660,9.0
37,Kerala,Tupperware,6508.031,1206.5913,5267.362,50823.58,20597.412218879763,3.164922381749783,0.5947272313605967,0.40527275368794885,REORDER NOW,65.6,141936.013,121339,3.2
38,Kerala,Furniture,6404.374,3193.756,13942.308,58772.926,67041.80308217404,10.468127382446326,0.0,1.1406919417653978,MONITOR,0.0,148434.16199999998,81392,10.5
39,Kerala,Pet Care,4305.9995,1204.5808,5258.585,35400.582,47116.69696996427,10.9421045779816,0.0,1.330958258538356,OK,0.0,95684.5745,48568,10.9
40,Kerala,Food,4380.46,938.5027,4097.0234,34760.242,35982.74122966594,8.214375099998623,0.0,1.035169468315725,MONITOR,0.0,96086.68340000001,60104,8.2
41,Kerala,Clothing & Apparel,5781.117,580.41565,2533.7983,43001.617,42667.72689536143,7.380533123877526,0.0077645984959752,0.9922354058304699,MONITOR,3.5,123937.2553,81270,7.4
42,Kerala,Electronics & Gadgets,8831.955,713.64966,3115.4302,64939.117,58993.3255139339,6.679531880777866,0.0915594780323036,0.9084405245906547,MONITOR,12.1,188586.4852,129593,6.7
43,Kerala,Footwear & Shoes,6576.8115,623.698,2722.747,48760.426,56710.00878185271,8.622720687639854,0.0,1.1630334973253251,MONITOR,0.0,140835.7885,84126,8.6
44,Kerala,Home Decor,6456.2173,3767.1257,16445.348,61638.867,57851.97052571869,8.960660394551542,0.0614368309245837,0.9385631719304427,MONITOR,8.4,152025.9113,94174,9.0
45,Kerala,Games & Toys,5171.0503,852.08575,3719.7715,39917.125,63900.76353471828,12.357405152606288,0.0,1.6008358200826909,OK,0.0,112311.8278,48411,12.4
46,Kerala,Sports Products,5728.395,567.10724,2475.7007,42574.465,57397.19850811694,10.019769640958474,0.0,1.3481601825910658,OK,0.0,122771.99570000001,65375,10.0
47,Kerala,Tupperware,6875.573,615.56946,2687.262,50816.273,42952.72478082759,6.247148167555838,0.1547446934758793,0.8452553138013013,WATCHLIST,18.6,147074.29499999998,104122,6.2
48,Kerala,Furniture,5192.4385,3578.953,15623.881,51970.953,47167.3116193713,9.083846025768803,0.0924293517202779,0.9075706504626017,MONITOR,11.4,124665.0895,77498,9.1
49,Kerala,Pet Care,6659.822,805.94855,3518.3599,50137.113,38701.46344439844,5.811186055467449,0.2280875201709748,0.7719124841591586,WATCHLIST,26.2,143374.6219,104673,5.8
50,Kerala,Food,4064.4807,964.9124,4212.315,32663.68,57923.42970114976,14.251126722644749,0.0,1.7733283482188706,OK,0.0,89566.4097,31643,14.3
51,Kerala,Clothing & Apparel,6640.9917,795.53503,3472.9,49959.84,37214.95964182504,5.6038256524553445,0.2551025031662377,0.7448974945040865,WATCHLIST,29.0,142933.72569999998,105719,5.6
52,Kerala,Electronics & Gadgets,5927.7495,775.0744,3383.5793,44877.824,88649.01074216086,14.954918484141055,0.0,1.9753411115066732,OK,0.0,127866.3188,39217,15.0
53,Kerala,Footwear & Shoes,4734.5864,1038.5656,4533.847,37675.953,38243.618848758015,8.077499365205371,0.0,1.015067060115454,MONITOR,0.9,103960.1614,65717,8.1
54,Kerala,Home Decor,6775.67,862.90967,3767.023,51196.71,45138.73051408804,6.661884512461169,0.1183275314464522,0.8816724846984902,MONITOR,14.8,146056.093,100917,6.7
55,Kerala,Games & Toys,6014.9766,4279.7637,18683.264,60788.1,116839.71079633036,19.4247990133096,0.0,1.9220819666403517,OK,0.0,144997.7726,28158,19.4
56,Kerala,Sports Products,6749.8604,789.7922,3447.8296,50696.85,40587.43503855296,6.0130777415502425,0.1994091588011923,0.8005908658733819,WATCHLIST,23.2,145194.898,104607,6.0
57,Kerala,Tupperware,9359.633,2692.119,11752.417,77269.84,69141.43420977067,7.387195159774936,0.1051951077645259,0.8948049356614518,MONITOR,13.2,208304.71,139163,7.4
58,Kerala,Furniture,6108.901,646.69806,2823.1536,45585.457,65110.03385117398,10.658223981992554,0.0,1.428307143025329,OK,0.0,131110.0746,66000,10.7
59,Kerala,Pet Care,5793.8247,512.77655,2238.5208,42795.293,26693.920481662444,4.607305507408142,0.3762416698220785,0.6237583297224404,REORDER SOON,41.9,123908.8395,97215,4.6
60,Kerala,Food,7301.743,374.77853,1636.0918,52748.297,52125.47938850537,7.1387719640777,0.0118073477892669,0.9881926498689687,MONITOR,3.9,154972.6948,102847,7.1
61,Kerala,Clothing & Apparel,5753.141,570.0663,2488.6184,42760.605,73542.99387793492,12.783102731160085,0.0,1.7198773000974825,OK,0.0,123304.5794,49762,12.8
62,Kerala,Electronics & Gadgets,6064.1597,819.9763,3579.5981,46028.715,70545.72208804516,11.633223059853098,0.0,1.532645916533737,OK,0.0,130926.95180000001,60381,11.6
63,Kerala,Footwear & Shoes,6107.726,556.9814,2431.4963,45185.58,65329.018466704176,10.69612776880478,0.0,1.4457935134771795,OK,0.0,130693.7423,65365,10.7
64,Kerala,Home Decor,10259.513,1257.2917,5488.694,77305.28,92856.54752240251,9.050775634287977,0.0,1.2011669516286922,OK,0.0,220938.467,128082,9.1
65,Kerala,Games & Toys,4908.996,932.6088,4071.2942,38434.266,64189.66881413414,13.075925828472071,0.0,1.670115641446987,OK,0.0,107160.2102,42971,13.1
66,Kerala,Sports Products,6068.8555,531.32574,2319.4968,44801.484,65524.86163922811,10.796905936651717,0.0,1.4625600714304043,OK,0.0,129765.46229999998,64241,10.8
67,Kerala,Tupperware,8324.798,3019.434,13181.309,71454.89,59787.55395478797,7.181862553403182,0.1632825488662908,0.8367174584522902,WATCHLIST,19.1,188002.067,128215,7.2
68,Kerala,Furniture,8021.254,1714.186,7483.261,63632.04,48086.79349990948,5.994922248059149,0.2442990322425756,0.7557009566235733,WATCHLIST,27.7,175929.595,127843,6.0
69,Kerala,Pet Care,6136.386,828.45825,3616.6257,46571.33,24079.07866545737,3.923983556624663,0.4829634533756949,0.517036525807989,REORDER SOON,53.3,132480.7317,108402,3.9
70,Kerala,Food,6148.2783,557.68854,2434.5835,45472.53,37506.60775203568,6.100343185200718,0.1751810000232684,0.8248190226502831,WATCHLIST,20.7,131548.4278,94042,6.1
71,Kerala,Clothing & Apparel,7263.0864,954.5608,4167.125,55008.73,87605.01159576261,12.061678253586171,0.0,1.5925656090544646,OK,0.0,156691.9394,69087,12.1
72,Kerala,Electronics & Gadgets,4624.6475,1334.2948,5824.85,38197.383,26742.1717546889,5.782531961748232,0.2998951816683736,0.7001048148950125,WATCHLIST,33.4,102942.44750000001,76200,5.8
73,Kerala,Footwear & Shoes,5602.6724,2881.6704,12579.902,51798.61,45587.577925538586,8.136755992427846,0.1199073010724318,0.8800926883084041,MONITOR,14.4,130236.02240000002,84648,8.1
74,Kerala,Home Decor,7157.3486,3502.7634,15291.277,65392.72,95765.71940799564,13.380055146253822,0.0,1.4644706537363126,OK,0.0,165595.5976,69830,13.4
75,Kerala,Games & Toys,6086.823,930.3524,4061.4436,46669.207,56809.94334174884,9.333266480945538,0.0,1.2172896647193692,OK,0.0,131884.72660000002,75075,9.3
76,Kerala,Sports Products,7593.236,926.2986,4043.7468,57196.4,40224.645387842174,5.297431323912349,0.2967276526721049,0.7032723281157935,WATCHLIST,33.4,163501.7028,123277,5.3
77,Kerala,Tupperware,5954.8135,656.17896,2864.5425,44548.24,56888.9053506512,9.55343195459602,0.0,1.2770180224999057,OK,0.0,127915.626,71027,9.6
78,Kerala,Furniture,5789.182,421.65186,1840.7167,42364.99,56604.71011315902,9.777669600429956,0.0,1.3361199923134413,OK,0.0,123413.5387,66809,9.8
79,Kerala,Pet Care,4881.9995,590.35986,2577.2097,36751.207,48868.495915577216,10.009934617624047,0.0,1.3297113184766207,OK,0.0,105099.1992,56231,10.0
80,Kerala,Food,7437.378,473.77618,2068.265,54129.91,55785.9740287989,7.500758272094812,0.0,1.0305942505501837,MONITOR,0.0,158253.203,102467,7.5
81,Kerala,Clothing & Apparel,6139.09,486.3801,2123.287,45096.914,87163.74284332221,14.198153970993056,0.0,1.932809478788775,OK,0.0,131044.177,43880,14.2
82,Kerala,Electronics & Gadgets,8026.7056,1313.7327,5735.0864,61922.023,76159.75706931856,9.48829584432074,0.0,1.2299300536308149,OK,0.0,174295.904,98136,9.5
83,Kerala,Footwear & Shoes,4119.1943,853.6061,3726.4082,32560.768,29671.868344817656,7.203318397956708,0.0887233148412682,0.9112766733517359,MONITOR,11.6,90229.4885,60558,7.2
84,Kerala,Home Decor,11797.272,942.4997,4114.4727,86695.375,62706.81578596668,5.315365563828261,0.2766994111742792,0.7233005888257209,WATCHLIST,31.4,251857.18470000004,189150,5.3
85,Kerala,Games & Toys,7300.7583,2137.5925,9331.638,60436.945,118596.5972775156,16.244421797229563,0.0,1.9623195262023188,OK,0.0,162647.56230000002,44051,16.2
86,Kerala,Sports Products,5768.9697,496.65195,2168.129,42550.918,53508.99479632928,9.27531211508249,0.0,1.2575285636923106,OK,0.0,123316.49269999999,69807,9.3
87,Kerala,Tupperware,6983.037,3589.1023,15668.1875,64549.445,94759.9919299964,13.570025541290253,0.0,1.468021792131542,OK,0.0,162311.9645,67552,13.6
88,Kerala,Furniture,5143.7324,1044.3501,4559.099,40565.223,41476.12729388997,8.063430188845444,0.0,1.0224553010318709,MONITOR,0.2,112577.4794,71101,8.1
89,Kerala,Pet Care,6091.1587,456.64944,1993.4983,44631.61,44546.536663308856,7.313310803436729,0.0019061089860406,0.9980938770371236,MONITOR,2.9,129907.831,85361,7.3
90,Kerala,Food,9025.09,2754.05,12022.776,75198.41,52597.01448765263,5.827866026627624,0.3005567922172202,0.6994431729028929,REORDER SOON,33.4,201549.66600000003,148953,5.8
91,Kerala,Clothing & Apparel,6091.7275,456.27484,1991.8629,44633.957,51896.18410065869,8.519124298957955,0.0,1.1627063247083087,MONITOR,0.0,129918.1404,78022,8.5
92,Kerala,Electronics & Gadgets,5434.2036,631.98676,2758.9314,40798.355,59269.53517009827,10.906756424297924,0.0,1.4527432581558317,OK,0.0,116877.207,57608,10.9
93,Kerala,Footwear & Shoes,5783.701,565.55396,2468.92,42954.83,42890.32625090247,7.415723077027161,0.0015016210496716,0.9984983353653704,MONITOR,2.8,123926.641,81036,7.4
94,Kerala,Home Decor,6222.106,700.6147,3058.526,46613.27,54356.97666642438,8.73610591683972,0.0,1.166126655916317,MONITOR,0.0,133722.752,79366,8.7
95,Kerala,Games & Toys,7501.129,2207.722,9637.787,62145.688,58532.61059627089,7.803173539319002,0.0581388194269974,0.9418611729951544,MONITOR,8.3,167161.496,108629,7.8
96,Kerala,Sports Products,5911.745,539.84766,2356.6992,43738.914,17864.580291044185,3.021879315991759,0.5915632412474419,0.4084367593361871,REORDER NOW,65.6,126503.3442,108639,3.0
97,Kerala,Tupperware,6329.808,514.2186,2244.816,46553.473,65899.06318426484,10.41091010757975,0.0,1.4155563256100108,OK,0.0,135170.78399999999,69272,10.4
98,Kerala,Furniture,5169.6426,737.99164,3221.6946,39409.195,42941.605197264886,8.306494027066677,0.0,1.0896341627192558,MONITOR,0.0,111784.18920000001,68843,8.3
99,Kerala,Pet Care,5837.9165,502.15042,2192.1323,43057.547,41707.284173363696,7.14420703781163,0.0313594897906339,0.968640507397314,MONITOR,5.9,124788.3788,83081,7.1
100,Kerala,Food,7519.059,702.72284,3067.7292,55701.145,73371.02761334857,9.758006528860474,0.0,1.3172265599450168,OK,0.0,160967.9682,87597,9.8
101,Kerala,Clothing & Apparel,6121.6978,509.3232,2223.445,45075.33,53645.91716858545,8.76324172233986,0.0,1.1901391996150765,MONITOR,0.0,130779.0988,77133,8.8
102,Kerala,Electronics & Gadgets,6003.1865,598.74396,2613.8103,44636.113,58701.75611731326,9.778432818659098,0.0,1.3151180103274958,OK,0.0,128680.72679999999,69979,9.8
103,Kerala,Footwear & Shoes,5788.0938,584.7343,2552.6514,43069.31,54300.02795163034,9.381331798855252,0.0,1.2607591798343263,OK,0.0,124102.6212,69803,9.4
104,Kerala,Home Decor,11019.859,2128.0188,9289.844,86428.86,136070.23165665427,12.34772849872726,0.0,1.5743610601441957,OK,0.0,240706.88300000003,104637,12.3
105,Kerala,Games & Toys,5995.345,456.61572,1993.3512,43960.77,70559.84618209857,11.769104806075372,0.0,1.6050639281818442,OK,0.0,127895.59620000001,57336,11.8
106,Kerala,Sports Products,8681.067,1656.4297,7231.126,67998.6,60877.73036481579,7.012701051641022,0.1047208476947743,0.8952791728773208,MONITOR,13.3,189533.53299999997,128656,7.0
107,Kerala,Tupperware,7315.7114,405.9138,1772.0125,52981.992,74284.0518694829,10.154043475211305,0.0,1.4020622680529433,OK,0.0,155401.95190000001,81118,10.2
108,Kerala,Furniture,8706.984,356.43442,1556.0106,62504.902,39537.02605237544,4.540840358677621,0.3674571982380061,0.6325428052407064,REORDER SOON,41.1,184402.67460000003,144866,4.5
109,Kerala,Pet Care,5978.8228,382.29614,1668.9098,43520.668,46213.59206801827,7.729547098184961,0.0,1.061876901062692,MONITOR,0.0,127224.1886,81011,7.7
110,Kerala,Food,4685.181,834.18243,3641.6147,36437.883,20369.91617915944,4.347732887333383,0.4409687224700236,0.5590312746533447,REORDER SOON,48.6,102030.4157,81660,4.3
111,Kerala,Clothing & Apparel,6138.3965,634.275,2768.9211,45737.695,72762.60093566969,11.853682166162365,0.0,1.5908672471507297,OK,0.0,131675.2476,58913,11.9
112,Kerala,Electronics & Gadgets,7502.9844,2034.9783,8883.676,61404.566,72731.75255665665,9.693709718895242,0.0,1.1844681478028303,MONITOR,0.0,166446.34840000002,93715,9.7
