Store,Region,Product_Category,Avg_Daily_Demand,Std_Daily_Demand,Safety_Stock,Reorder_Point,Current_Inventory,Days_Of_Supply,Stockout_Risk
1,Kerala,Clothing & Apparel,5654.362,2952.2515,12888.022,52468.555,52657.83258042833,9.312780874340323,0.0
2,Kerala,Electronics & Gadgets,5745.6167,497.64447,2172.4617,42391.777,46379.94531727451,8.072231014571672,0.0
3,Kerala,Footwear & Shoes,6003.6616,757.2034,3305.5635,45331.195,80822.60400505044,13.4622184103584,0.0
4,Kerala,Home Decor,10141.244,2465.6907,10763.947,81752.66,84680.97848191056,8.35015677639447,0.0
5,Kerala,Games & Toys,4197.78,1133.3446,4947.604,34332.062,53568.61753516138,12.761178593642555,0.0
6,Kerala,Sports Products,6061.471,3936.051,17182.79,59613.086,58521.644684149476,9.654693198430028,0.018308752787849648
7,Kerala,Tupperware,7392.839,1929.5804,8423.5625,60173.434,57507.173020222224,7.778767271049695,0.04430959668229254
8,Kerala,Furniture,5489.3994,800.2186,3493.346,41919.145,33820.77160383564,6.161105988606893,0.1931903195538059
9,Kerala,Pet Care,6258.2324,420.59927,1836.1217,45643.746,34961.0242288172,5.586405533072658,0.2340456859739561
10,Kerala,Food,5617.0474,410.36087,1791.426,41110.758,26831.583977434217,4.776812841713391,0.3473342403511741
11,Kerala,Clothing & Apparel,6187.4756,1204.6409,5258.8467,48571.176,47312.40950503128,7.646480191786115,0.025915911154546122
12,Kerala,Electronics & Gadgets,6056.4043,809.89594,3535.592,45930.42,37322.71139823056,6.162519800319215,0.1874076075372308
13,Kerala,Footwear & Shoes,5477.2427,771.93384,3369.869,41710.566,35804.00034972586,6.536865804402018,0.14160838764440967
14,Kerala,Home Decor,5792.2007,492.21484,2148.7588,42694.164,34716.38079892258,5.993642605867539,0.18685887026383133
15,Kerala,Games & Toys,6314.838,511.40332,2232.526,46436.395,81098.33797903916,12.842505125814496,0.0
16,Kerala,Sports Products,6833.799,642.14185,2803.2634,50639.855,37239.50549740982,5.4493125176801955,0.2646206204046056
